Player,Min,Sh,Ast,Gls
Max Aarons,86,0,0,0
Max Aarons,120,0,0,0
Rodrigo Abajas,65,1,0,0
James Abankwah,88,1,0,0
Keyliane Abdallah,3,0,0,0
Yunis Abdelhamid,1033,2,0,0
Himad Abdelli,2842,35,1,6
Mohamed Abdelmoneim,855,0,0,0
Ali Abdi,1393,29,2,5
Saud Abdulhamid,205,1,1,0
Abel,2074,12,0,2
Nabil Aberdin,263,2,0,0
Oliver Abildgaard,7,0,0,0
Matthis Abline,2768,73,2,9
Abner,1090,7,1,1
Zakaria Aboukhlal,1901,62,2,7
Abdel Abqar,2463,12,1,0
Tammy Abraham,1,0,0,0
Tammy Abraham,1183,26,4,3
Federico Accornero,5,0,0,0
Francesco Acerbi,1710,5,1,0
Joshua Acheampong,170,2,0,0
Akor Adams,134,2,0,0
Akor Adams,1075,26,1,3
Che Adams,2652,63,3,9
Tyler Adams,1965,9,3,0
Junior Adamu,1545,36,2,2
Tosin Adarabioyo,1409,13,1,1
Martin Adeline,26,0,0,0
Karim Adeyemi,1433,46,6,7
Simon Adingra,1097,33,2,2
Amine Adli,766,20,0,2
Yacine Adli,1219,14,6,4
Adrián,1710,0,0,0
Adryelson,1,0,0,0
Vasilije Adžić,42,1,0,0
Michel Aebischer,724,10,0,0
Oladapo Afolayan,1639,38,1,3
Emmanuel Agbadou,1410,7,0,1
Emmanuel Agbadou,1260,15,0,0
Asher Agbinone,6,1,0,0
Jeremy Agbonifo,300,6,0,1
Julen Agirrezabala,1206,0,0,0
Lucien Agoume,2114,10,3,1
Felix Agu,1751,9,0,3
Álvaro Aguado,443,10,1,0
Lorenzo Aguado,5,0,0,0
Nayef Aguerd,1760,15,0,0
Ruben Aguilar,1124,11,2,1
Naouirou Ahamada,58,1,0,0
Honest Ahanor,270,3,0,0
Erik Ahlstrand,43,0,0,0
Jean-Eudes Aholou,1959,27,0,2
Joseph Aidoo,583,1,0,0
Joseph Aidoo,2,0,0,0
Ayman Aiki,127,3,0,0
Ola Aina,2995,11,1,2
Rayan Aït-Nouri,3109,36,7,4
Junior Ajayi,13,0,0,0
Kristoffer Ajer,1438,9,0,0
Ludovic Ajorque,2495,53,2,13
Manuel Akanji,2014,15,0,0
Ümit Akdag,500,2,0,0
Nathan Aké,678,3,0,0
Ilias Akhomach,584,17,0,1
Sergio Akieme,2523,26,3,2
Maghnes Akliouche,2406,61,10,5
Paul Akouokou,19,0,0,0
Clément Akpa,2486,6,1,0
Jean-Daniel Akpa-Akpro,966,4,0,0
David Akpan Ankeye,45,0,0,0
Kevin Akpoguma,2220,5,0,0
Chuba Akpom,639,18,1,3
David Alaba,317,0,0,0
Ibrahim Alani,160,1,0,0
Andreas Albers,62,3,0,1
Raúl Albiol,1188,2,0,0
Carlos Alcaraz,10,1,0,0
Carlos Alcaraz,764,26,3,2
Omar Alderete,2971,38,0,1
Carles Aleñá,452,5,0,0
Carles Aleñá,1090,15,2,0
Ben Alexander Voll,91,0,0,0
Trent Alexander-Arnold,2365,45,6,3
Alfon,1371,46,2,5
Mohamed Ali Cho,1621,36,4,3
Faride Alidou,71,1,0,0
Alisson,2508,0,0,0
Tadeo Allende,2,0,0,0
Jim Allevinah,1750,35,3,1
Dele Alli,9,0,0,0
Thiago Almada,951,23,4,1
Domingos André Ribeiro Almeida,1977,18,4,0
Iker Almena,48,1,1,0
Miguel Almirón,157,6,0,0
Pontus Almqvist,1112,26,1,1
Marcos Alonso,2647,31,0,3
Giorgio Altare,753,3,0,0
Adrià Altimira,1630,7,0,0
Sergi Altimira,1972,21,1,0
Olabade Aluko,2,0,0,0
Edson Álvarez,1772,12,1,0
Hugo Álvarez,1572,25,3,4
Julián Álvarez,2509,70,4,17
Yeray Álvarez,1781,9,0,1
Skelly Alvero,236,1,0,0
Will Alves,1,0,0,0
Selim Amallah,1376,21,1,3
Harry Amass,346,3,0,0
Amath,375,5,1,0
Jordan Amavi,790,8,0,0
Aurele Amenda,96,0,0,0
Kelvin Amian,2165,7,0,1
Michael Amir Murillo,2437,13,3,1
Nadiem Amiri,2473,60,5,7
Samuel Amo-Ameyaw,28,1,0,0
Samuel Amo-Ameyaw,320,9,0,2
Mathis Amougou,8,0,0,0
Mathis Amougou,859,7,0,0
Mohamed Amoura,2467,73,9,10
